,Unnamed: 0,id,nimi,kategooria,hind,vana_hind,soodus
481,587,101369,kanapuljong gallina blanca 0kg,SH-13-8-43,0.85,,"
"
482,592,192229,maitseaine kanale vegeta natur 0.02kg,SH-13-12-73,0.85,,"
"
483,593,192243,maitseaine kartulile vegeta natur 0.02kg,SH-13-12-73,0.85,,"
"
484,594,814091,kohupiimakreem mustika rimi 0.15kg,SH-11-4-21,0.85,,"
"
485,596,192610,maitseaine krõbe kartulile vegeta natur 0.02kg,SH-13-12-73,0.85,,"
"
486,600,222530,jogurt kirsilisandiga fantasia 0.118kg,SH-11-2-5,0.85,,"
"
487,602,200181,koorene jogurt maasika fantasia 0.118kg,SH-11-2-5,0.85,,"
"
488,591,275402,martsipanikeerd 0.06kg,SH-6-6,0.85,,"
"
489,622,995050,jogurt maasika-arbuusi puuv.suhkru farmi 0.13kg,SH-11-2-5,0.86,,"
"
490,623,812168,rohel oliivid rimi basic kivideta 0.28kg,SH-13-10-56,0.86,,"
"
491,624,196743,õunamahl kontsentreeritud mahlast aura 0.33l,SH-3-8-1,0.86,,"
"
492,625,196735,multinektar aura 0.33l,SH-3-8-3,0.86,,"
"
493,626,995060,jogurt mango puuviljasuhkrutega farmi 0.13kg,SH-11-2-5,0.86,,"
"
494,627,196732,apelsinimahl kontsentr.mahlast aura 0.33l,SH-3-8-1,0.86,,"
"
495,633,980931,jogurt banaani emma laktoosivaba 0.11kg,SH-11-2-5,0.87,,"
"
496,631,811316,rohelised oliivid rimi basic paprik.180g 0.08kg,SH-13-10-56,0.87,,"
"
497,632,980929,jogurt mustika emma laktoosivaba 0.11kg,SH-11-2-5,0.87,,"
"
498,629,1356526,vesi mustikamaitseline aura fruit 0.5l,SH-3-12-9,0.87,,"
"
499,628,1354602,vesi sidruni mahlaga gas aura fruit 0.5l,SH-3-12-9,0.87,,"
"
500,630,1361729,maitsevesi maasikas-basiilik aura 0.5l,SH-3-12-9,0.87,,"
"
501,634,147445,želatiin dr.oetker 0.02kg,SH-13-13-80,0.88,,"
"
502,666,952752,jogurtimaius maasika alma 0.2kg,SH-11-2-5,0.89,1.19,"regular
"
503,667,1368292,karastusjook kelluke ploomi 0.5l,SH-3-7,0.89,,"
"
504,668,1350490,limonaad traditsiooniline a.le coq 0.5l,SH-3-7,0.89,,"
"
505,669,165345,dipikaste hapukoore ja sibulaga taffel 0.015kg,SH-9-1,0.89,,"
"
506,670,108081,leivake juustu-sibula balsnack 0.08kg,SH-6-4-10,0.89,,"
"
507,671,995926,jogurtimaius rabarberi alma 0.2kg,SH-11-2-5,0.89,1.19,"regular
"
508,672,1010523,šokolaadibatoon tupla double layer maple 0.048kg,SH-9-9-21,0.89,,"
"
509,673,7169019,kraabits,SH-15-2-10,0.89,,"
"
510,674,1370100,karastusjook barbariss 0.5l,SH-3-7,0.89,,"
"
511,675,814080,suupiste kassile nutribalance dental 0.05kg,SH-7-1-2,0.89,,"
"
512,676,992857,kohupiim ricotta van piimam otto 0.2kg,SH-11-4-21,0.89,,"
"
513,679,1008167,šokolaadibatoon pähkli 2-pakk lion 0.06kg,SH-9-9-21,0.89,,"
"
