,Unnamed: 0,id,desc,category,price,old_price,discount_type
6796,9333,269864,juust emmental findenost synnove 0.35kg,SH-11-3-19,5.29,,"
"
6797,9327,810009,lasanje bolognese kastmega rimi 1kg,SH-16-4,5.29,,"
"
6798,9328,178116,mesi muhe 0.45kg,SH-13-10-53,5.29,,"
"
6799,9329,805586,pekanipähkel rimi 0.15kg,SH-9-4-10,5.29,,"
"
6800,9330,810471,mesi i love eco 0.35kg,SH-13-10-53,5.29,,"
"
6801,9331,942836,või selitatud ghee amrita 0.2l,SH-11-9-41,5.29,,"
"
6802,9332,802166,whisky bartender's club 40% 0.2l,SH-1-14,5.29,,"
"
6803,9325,7189830,vein baron rosen vino blanco m.-sweet 1l,SH-1-11-6,5.29,,"
"
6804,9334,257142,juust soolvees kuubikud arla apetina 0.2kg,SH-11-3-10,5.29,,"
"
6805,9356,961888,poolsuitsuvorst servelaat rakvere 0.5kg,SH-8-13,5.29,,"
"
6806,9336,104581,piimašokolaad vahvliga kalev mesikäpp 0.3kg,SH-9-9-20,5.29,,"
"
6807,9338,1354995,konts.mahlajook mustsõstra küllus 0.33l,SH-3-8-4,5.29,,"
"
6808,9339,811910,kookosõli rimi planet rafineeritud 0.5l,SH-13-19-106,5.29,,"
"
6809,9350,1000944,piimašokolaad mandlitega eesti 0.3kg,SH-9-9-20,5.29,,"
"
6810,9353,164500,hommikueine nestle cookie crisp 0.625kg,SH-13-3-15,5.29,,"
"
6811,9354,261026,juust tart aperif sav de prov 0.1kg,SH-11-3-15,5.29,,"
"
6812,9323,810802,pitsa royale rimi 570g,SH-4-5-19,5.29,,"
"
6813,9358,812376,metspähklikreem rimi duo 0.6kg,SH-13-10-62,5.29,,"
"
6814,9335,171401,ürdisool herbamare mahe 0.25kg,SH-13-12-77,5.29,,"
"
6815,9322,810803,pitsa quattro formaggi rimi 570g,SH-4-5-19,5.29,,"
"
6816,9337,102780,piimašokolaad kalev anneke 0.3kg,SH-9-9-20,5.29,,"
"
6817,9307,7259036,märg kassitoit kala kastmes nood 8tk,SH-7-1-1,5.29,,"
"
6818,9266,944563,juust andre grand 3 kuud kg,SH-11-3-19,5.29,,"
"
6819,9267,810690,kauaküpsetatud rebitud sealiha rimi 0.3kg,SH-8-1-30,5.29,,"
"
6820,9272,1369688,täismahl semu aroonia 0.5l,SH-12-8-36,5.29,,"
"
6821,9273,7260172,mänguasi monster jam ,SH-5-5-16,5.29,,"
"
6822,9321,810918,vahuvein wines of the world brut 0.75l,SH-1-10-25,5.29,,"
"
6823,9276,970115,gouda sinepiseemne nopri 0.25kg,SH-19-1,5.29,,"
"
6824,9277,983245,jäätis kaktus shake mini 0.33l 0.246kg,SH-4-1-6,5.29,,"
"
6825,9280,970652,külmutatud merluus ilma peata 0.8kg,SH-4-2-10,5.29,,"
"
