,id,nimi,kategooria,hind,vana_hind,soodus
1411,803334,Mahlajook segumarja Rimi 1l,SH-3-8-2,1.25,,"
"
1413,172829,Herned kollased poolitatud Tartu Mill 500g,SH-13-7-33,1.25,,"
"
1409,165960,Jahvatatud kurkum Kotanyi 20g,SH-13-12-76,1.25,,"
"
1388,1004710,Seakamarakrõpsud pipra ja soolaga Ossi 40g,SH-9-8-18,1.25,,"
"
1387,101288,Mahl õuna Põltsamaa 1l,SH-3-8-1,1.25,1.69,"loyalty
"
1386,119412,Jook mustika-õuna Põltsamaa 1l,SH-3-8-2,1.25,1.69,"loyalty
"
1385,808638,Brokoli sügavkülmutatud Rimi 400G,SH-4-3-14,1.25,1.79,"loyalty
"
1383,1011535,"Kiirnuudlid kana Maggi 59,2g",SH-13-8-39,1.25,,"
"
1382,1011532,"Kiirnuudlid veise Maggi 59,2g",SH-13-8-39,1.25,,"
"
1381,1011516,"Kiirnuudlid köögiviljadega Maggi 59,2g",SH-13-8-39,1.25,,"
"
1380,989334,Joogijogurt metsamarja Activia 280g,SH-11-2-4,1.25,,"
"
1379,977567,Kissellimaius Mustikas Nopri 180g,SH-19-1,1.25,1.45,"regular
"
1378,980943,Proteiinijogurt vaarika-musti magus FIT! 150g,SH-11-2-3,1.25,,"
"
1377,980940,Proteiinijogurt maasika magusainega FIT! 150g,SH-11-2-3,1.25,,"
"
1375,147386,"Jook kirsi-õuna Tymbark 0,25l",SH-3-8-2,1.25,,"
"
1374,1003478,Mustikajook Aura 1l,SH-3-8-2,1.25,,"
"
1373,157186,Kreekerid juustumaitselised Croco 100g,SH-9-5-6,1.25,,"
"
1371,1004951,Vahvlid sarapuupähklitäidisega Happy 100g,SH-9-10,1.25,,"
"
1370,162640,Jook jõhvika-granaatõuna Põltsamaa 1l,SH-3-8-2,1.25,1.69,"loyalty
"
1410,109397,Kartulitärklis Alojas 400g,SH-13-4-19,1.25,,"
"
1389,1004950,Vahvlid vanillimaitselise täidise. Happy 100g,SH-9-10,1.25,,"
"
1390,170516,Odrakruup Baltix 4x100g,SH-13-18-100,1.25,,"
"
1372,1004939,Vahvlid kakaotäidisega Happy 100g,SH-9-10,1.25,,"
"
1392,156630,Vürtsid küüslaugu kanale Kotanyi 30g,SH-13-12-73,1.25,,"
"
1408,1360007,"Karboniseerimata sidruni jook Rimi 1,5l",SH-3-12-9,1.25,,"
"
1407,1360017,"Karb-mata õunamaitseline jook Rimi 1,5l",SH-3-12-9,1.25,,"
"
1406,153587,Oregano Kotanyi 8g,SH-13-12-76,1.25,,"
"
1405,167751,Kuivatatud puuviljade ja pähklite segu 1go50g,SH-9-4-13,1.25,,"
"
1403,102693,Soolapähkel Pindas 200g,SH-9-4-14,1.25,,"
"
1402,929064,Leib seemnepala Ruks Leibur 260g,SH-6-2-12,1.25,,"
"
1401,926514,Peedi-porg.-past. pehmik Eesti Pagar 240g,SH-6-2-10,1.25,,"
"
1404,133437,Kanapuljong peterselli ja tilliga Maggi 120g,SH-13-8-43,1.25,,"
"
1399,940424,Võileivamääre karulaugupesto Farmi 150g,SH-11-3-15,1.25,,"
"
1400,279257,Sai Kodusai suur Fazer 500g,SH-6-7-22,1.25,,"
"
1394,196900,Kartulivahvel juustu- ja sibula Balsnack 90g,SH-9-8-18,1.25,,"
"
1395,196901,Kartulivahvel meresoolaga Balsnack 90g,SH-9-8-18,1.25,,"
"
1393,181631,Basiilik Santa Maria 6g,SH-13-12-76,1.25,,"
"
1397,801045,Suhkur Rimi 1kg,SH-13-13-85,1.25,,"
"
1398,1351124,"Mineraalvesi S.Pellegrino 0,5l",SH-3-12-8,1.25,,"
"
1396,196902,Kartulivahvel hapuk. ja sibula Balsnack 90g,SH-9-8-18,1.25,,"
"
1391,154864,Vürtsköömned Kotanyi 20g,SH-13-12-76,1.25,,"
"
1455,158377,Maisileivakesed linaseemnete. Racio 115g,SH-13-1-2,1.27,,"
"
1456,158376,Maisileivakesed meresoolaga Racio 115g,SH-13-1-2,1.27,,"
"
1563,160448,Tomatipüree basiilikuga Melissa 500g,SH-13-6-31,1.29,,"
"
1558,810786,Pastakaste Rimi küüslauguga 390g,SH-13-16-20,1.29,,"
"
1559,810787,Pastakaste Rimi basiilikuga 390g,SH-13-16-20,1.29,,"
"
1560,1363995,"Vitamiinivesi Oshee 0,555l",SH-3-13,1.29,,"
"
1561,163426,Durumnisupasta Penne Tartu Mill 500g,SH-13-14-20,1.29,,"
"
1562,1363993,"Vitamiinivesi magneesium+B6 Oshee 0,555l",SH-3-13,1.29,,"
"
1572,959001,Vanilje-šokolaadi küpsisesõõrik sulatatud 75g,SH-6-6,1.29,,"
"
1565,1350309,"Limonaad traditsiooniline 1,5l",SH-3-7,1.29,,"
"
1566,1351802,"Limonaad Kelluke 1,5l",SH-3-7,1.29,,"
"
1567,1354409,"Karastusj Valgeklaar Õunamahlaga 1,5l",SH-3-7,1.29,,"
"
1569,1353983,"Õlu Alexander 5,2 %vol 0,568l prk",SH-1-6,1.29,,"
"
1570,272296,Surimist pulgad jahutatud Viči 150g,SH-8-7,1.29,1.69,"regular
"
1573,905304,Suitsujuustu snäkk Rambyno 75g,SH-11-3-13,1.29,,"
"
1564,182257,Maisipulgad kondenspiimaga Lotte 130g,SH-9-8-17,1.29,,"
"
1557,811312,Küpsetussegu šokolaadimuffinitele Rimi 400g,SH-13-4-18,1.29,2.09,"regular
"
1548,807909,Kuivikupuru Rimi 400g,SH-13-13-84,1.29,,"
"
1555,808414,Herned poolitatud Rimi Basic 800g,SH-13-7-33,1.29,,"
"
1574,967107,Jogurtijook ploomi-jäätise Sipsik 250g,SH-11-2-6,1.29,,"
"
1541,1361324,"Jäätee virsikumaitsega must Rimi 1,5l",SH-3-5,1.29,,"
"
1542,1361323,"Jäätee tsitrusviljade maits. roheline 1,5l",SH-3-5,1.29,,"
"
1543,192826,Nektar mango-aprikoosi Aura 1l,SH-3-8-3,1.29,,"
"
1544,803424,Nektar punase viinamarja Rimi 1l,SH-3-8-3,1.29,,"
"
1545,103603,Ploominektar Aura 1l,SH-3-8-3,1.29,,"
"
1556,811308,Küpsetussegu Rimi vanilliin.keeksi 400g,SH-13-4-18,1.29,2.09,"regular
"
1546,136052,Nektar punasest greibist Aura 1l,SH-3-8-3,1.29,,"
"
1549,808946,Nisu meega Rimi Honey pops 200g,SH-13-3-15,1.29,,"
"
1550,160303,"Spordijook Oshee sidrunimaitseline 0,75l",SH-3-10,1.29,,"
"
1551,143913,Küpsetuspulber Meira 100g,SH-13-13-83,1.29,,"
"
1552,163427,Durnuminisupasta Fusilli Tartu Mill 500g,SH-13-14-20,1.29,,"
"
1553,176285,Makaronid Chiffari Lisci Tartu Mill 500g,SH-13-14-20,1.29,,"
"
1554,195428,Riis pruun Baltix 4x100g,SH-13-15-90,1.29,,"
"
1547,804881,Valge küpsetusšokolaad ICA 100g,SH-13-13-82,1.29,,"
"
1576,299923,Kohupiimakreem torus Alma 3% 300g,SH-11-4-21,1.29,,"
"
1603,299574,Porgandid Crispy Rimi 200g,SH-12-1-4,1.29,,"
"
1580,812877,Jogurt FreeFrom laktoosivaba 380g,SH-11-2-8,1.29,,"
"
1540,204962,"Kodujuust Alma 0,1% 200g",SH-11-4-20,1.29,,"
"
1618,7050867,Püree õun-banaan Semper 6k 90g,SH-5-6-23,1.29,,"
"
1616,932846,Öko odrahelbed Jahu-Jaan 500g,SH-19-4,1.29,,"
"
1615,195050,Küpsised Zoo Jungle 100g,SH-9-5-5,1.29,,"
"
1614,810759,Kasside suupisted ICA lõhe maitsega 60 g,SH-7-1-2,1.29,,"
"
1613,810277,Maisisnäkk I Love Eco porgandi 8k 20g,SH-5-6-24,1.29,,"
"
1612,7050869,Püree õun-maasikas Semper 6k 90g,SH-5-6-23,1.29,,"
"
1611,810276,Maisisnäkk I Love Eco mahe 8kuud 30g,SH-5-6-24,1.29,,"
"
1610,810272,Maisisnäkk I Love Eco ban.-maasi. 8k 20g,SH-5-6-24,1.29,,"
"
1609,807280,Niisked salvrätikud Loving Touch Eco72tk,SH-5-1-2,1.29,,"
"
1608,126483,Biskviitküpsised maasika marm.Maiasmokk 130g,SH-9-5-5,1.29,,"
"
1607,121467,Biskviitküps.vaarik.marmel. Maiasmokk 130g,SH-9-5-5,1.29,,"
"
1606,1366984,"Õlu Alexander filtreerimata 5% 0,568l purk",SH-1-6,1.29,,"
"
1605,1359751,"Spordijook Oshee multifruit 0,75l",SH-3-10,1.29,,"
"
1602,920265,Kohupiimakreem mustika Alma 300g,SH-11-4-21,1.29,,"
"
1601,915811,Kohupiimakreem metsmaasika Alma 300g,SH-11-4-21,1.29,,"
"
1600,7050868,Püree õuna-mango Semper 6k 90g,SH-5-6-23,1.29,,"
"
1581,955153,Kohupiimakreem Alma jõhvika-kaneeli 300g,SH-11-4-21,1.29,,"
"
1582,1367771,"Banaaninektar Rimi 0,75l",SH-3-8-3,1.29,,"
"
1584,7104177,"Püree Semper ban-mustika-jogurti 6k,90g",SH-5-6-23,1.29,,"
"
1586,971850,Kaerasepik Eesti Pagar 300g,SH-6-8,1.29,,"
"
1587,166880,Seemne-pähkli Salat Mix Zelta Rieksts 150g,SH-9-4-12,1.29,,"
"
1589,1368245,"Õlu Karl Friedrich Helles 4,6%vol 0,568l",SH-1-6,1.29,,"
"
1578,1367619,"Muu alk.jook Bellissimo Long Dr. 5,5%vol 0,5l",SH-1-3,1.29,,"
"
1590,298702,Kodusai Röst Fazer 500g,SH-6-7-21,1.29,,"
"
1592,1368204,"Karastusjook Kelluke ploomi 1,5l",SH-3-7,1.29,,"
"
1593,1368288,"Muu alk.jook Saku On Ice Rabarber 4% 0,33l",SH-1-6,1.29,,"
"
1595,1004114,Šokolaadibatoon Crunchy Geisha 50g,SH-9-9-21,1.29,,"
"
1596,945941,"Kaalikas, kg",SH-12-1-2,1.29,,"
"
1597,812424,Mahlajook multipuuvilja Rimi Basic 2l,SH-3-8-2,1.29,,"
"
1599,7070210,Püree aprikoosi-jog. Semper 6k 90g,SH-5-6-23,1.29,,"
"
1591,974978,Linaseemnesepik Leibur 360g,SH-6-8,1.29,,"
"
1539,1350170,"Õlu Saku On Ice 5%vol 0,33l",SH-1-6,1.29,,"
"
1486,7159155,Püree ploomi/mustsõstra/pirni Hipp 100g,SH-5-6-23,1.29,1.79,"loyalty
"
1536,1365729,"Muu alk.jook Sinebr.LD Grapefruit 5,5% 0,33l",SH-1-3,1.29,,"
"
1497,1011406,Piimašokolaad Dianella suhkruvaba 85g,SH-13-1-1,1.29,,"
"
1496,196227,Tee sidrunheina&kummeli Lipton 20pk,SH-13-17-98,1.29,1.79,"loyalty
"
1495,196216,Tee eükalüpt-münt Lipton 20pk,SH-13-17-98,1.29,1.79,"loyalty
"
1494,7159149,Püree Hipp õuna-banaani-küpsise 4k 100g,SH-5-6-23,1.29,1.79,"loyalty
"
1493,7159171,Õuna-pirni-banaani püree Bio Hippis Hipp 4k,SH-5-6-23,1.29,1.79,"loyalty
"
1492,7159127,Püree õuna-pirni-kuiviku Hipp 4k 100g,SH-5-6-23,1.29,1.79,"loyalty
"
1491,7159147,Püree õuna-banaani bio Hipp 4k 100g,SH-5-6-23,1.29,1.79,"loyalty
"
1490,7159126,Püree pirni ja õuna bio Hippis 4k 100g,SH-5-6-23,1.29,1.79,"loyalty
"
1489,7159170,Püree Hipp banaan-kiivi-pirni 6k 100g,SH-5-6-23,1.29,1.79,"loyalty
"
1488,7159161,Püree õun ban.vaarik.täistera Hipp 100g,SH-5-6-23,1.29,1.79,"loyalty
"
1487,7159160,Püree Hipp õuna-maasika-banaani 4k 100g,SH-5-6-23,1.29,1.79,"loyalty
"
1485,7159129,Püree virsik&metsamari Hipp 4k 100g,SH-5-6-23,1.29,1.79,"loyalty
"
1484,1011432,Tume šokolaad Dianella suhkruvaba 85g,SH-13-1-1,1.29,,"
"
1483,7159128,Püree banaan-mango bio Hipp 4k 100g,SH-5-6-23,1.29,1.79,"loyalty
"
1498,101257,Mahl tomati Põltsamaa 1l,SH-3-8-1,1.29,1.75,"loyalty
"
1480,813594,Köögiviljamahl Rimi 100% 1l,SH-3-8-1,1.29,,"
"
1477,976188,"Jääsalat Rimi, tk.",SH-12-6,1.29,,"
"
1476,994179,Punase kapsa salat seemnetega 200g,SH-16-6,1.29,,"
"
1475,814168,Bruschetta tomati ja oreganoga Rimi 150g,SH-6-4-10,1.29,,"
"
1474,814176,Bruschetta küüslaugu ja peters. Rimi 150g,SH-6-4-10,1.29,,"
"
1537,162882,Puljong veiseliha Maggi 120g,SH-13-8-43,1.29,,"
"
1472,1370527,"Õlu Karl Friedrich Oktober 5% 0,568l purk",SH-1-6,1.29,,"
"
1469,1370110,"Karastusjook Barbariss 1,5l",SH-3-7,1.29,,"
"
1465,1372019,"Muu alk.jook Saku On Ice Ingver 4% 0,33l pdl",SH-1-6,1.29,,"
"
1464,200266,Vahukoor Alma 35% 200ml,SH-11-5-24,1.29,,"
"
1463,983780,Seemneleib Ruks 10% seemneid Leibur 390g,SH-6-3-15,1.29,,"
"
1461,986470,Kodupihvid M&M 400g,SH-8-12-30,1.29,,"
"
1460,1370073,"Muu alk.jook Hoggys Longero 5% 0,5l purk",SH-1-3,1.29,,"
"
1459,987183,Jäätis brownie Super Viva 170ml/93g,SH-4-1-7,1.29,,"
"
1458,1370102,"Õlu Alexander Bohemian 5% 0,568l purk",SH-1-6,1.29,,"
"
1479,988618,Puding kakao laktoosivaba Tere 200g,SH-11-2-2,1.29,,"
"
1500,191169,Söögisool peeneteraline Santa Maria 92g,SH-13-12-77,1.29,1.65,"loyalty
"
1473,987181,Jäätis kar- pähkli Super Viva 170ml/95g,SH-4-1-7,1.29,,"
"
1502,100570,Karri Santa Maria 34 g,SH-13-12-73,1.29,1.65,"loyalty
"
1522,274018,Röstsai Tosta Eesti Pagar 500g,SH-6-7-21,1.29,,"
"
1523,805802,Juust Mozzarella Rimi 45% 125g,SH-11-3-10,1.29,,"
"
1524,811479,Tuunikala purus.soolvees 185g,SH-8-5-8,1.29,,"
"
1525,905302,Suitsujuustu snäkk singiga Ramyno 75g,SH-11-3-13,1.29,,"
"
1526,275018,Kodujuust hapukoorega Alma 7% 200g,SH-11-4-20,1.29,,"
"
1527,938716,Majonees klassik. Provansaal Lemmik 210g,SH-11-6-27,1.29,,"
"
1521,1350416,"Energiajook Battery 0,33l",SH-3-4,1.29,,"
"
1528,1363502,"Õlu Karl Friedrich Märzen 5,0%vol 0,568l",SH-1-6,1.29,,"
"
1530,1358252,"Muu alk.jook Saku On Ice Granaatõun 0,33l",SH-1-6,1.29,,"
"
1531,1358242,"Muu alk.jook Saku On Ice Tsitrus 0,33l",SH-1-6,1.29,,"
"
1533,1361407,"Õlu Alexander Dunkel 4,2% 0,568l purk",SH-1-6,1.29,,"
"
