,id,desc,category,price,old_price,discount_type
5179,197632,Kaste ricotta Gustibus 400g,SH-13-16-20,2.69,,"
"
5174,813955,Pannkoogid maasikatäidisega 360g Rimi,SH-16-3,2.69,,"
"
5173,1004590,Nektar Mango-passioonvilja Põltsamaa 1l,SH-3-8-3,2.69,,"
"
5172,960334,"Kitsepiima jogurt maasika Andri-Peedo 0,5l",SH-19-1,2.69,,"
"
5260,203338,Sealihasült Rannarootsi 330g,SH-8-12-41,2.69,,"
"
5215,1363738,"Muu alk.jook Jack Daniel's & Cola 5% 0,33l",SH-1-3,2.69,,"
"
5216,194512,Külmkuivatatud krõbedad maasikad 12g,SH-9-4-11,2.69,,"
"
5196,994444,Seahakkliha Rakvere 400g,SH-8-2-7,2.69,,"
"
5218,810661,Atlandi heeringafileetükid marin. Rimi 390g,SH-8-16-20,2.69,,"
"
5258,291255,Õllemops juustuga Wõro 500g,SH-8-13,2.69,,"
"
5257,290520,Viiner Ehe Rannarootsi 330g,SH-8-22,2.69,,"
"
5217,810660,Heeringafileetükid sibulaga marin. Rimi 390g,SH-8-16-20,2.69,,"
"
5255,804031,Hele sojakaste Rimi 150ml,SH-13-11-71,2.69,,"
"
5254,194238,Läätsekrõpsud tilli-murulaugu Estrella 100g,SH-9-8-16,2.69,,"
"
5253,926609,"Lastevorst 77,7 350g",SH-8-4,2.69,,"
"
5252,194232,Läätsekrõpsud hapukoore-sibula Estrella 100g,SH-9-8-16,2.69,,"
"
5251,191167,Tšillipulber Santa Maria 41g,SH-13-12-75,2.69,,"
"
5250,810823,Meresool Selection By Rimi 100g,SH-13-12-77,2.69,,"
"
5249,171691,Kaste Sweet and Sour ananassiga Felix 500g,SH-13-16-20,2.69,,"
"
5248,923301,Hummus seesamiseemnete ja ürtidega Noa 175g,SH-16-10,2.69,,"
"
5246,119314,Kirsikompott kivideta Suvel 700/350g,SH-13-10-60,2.69,,"
"
5244,100346,Kaerahelbed Veski Mati 1kg,SH-13-2-9,2.69,,"
"
5243,100356,Nisujahu Eriti Hea Veski Mati 2kg,SH-13-4-21,2.69,,"
"
5256,804032,Tume sojakaste Rimi 150ml,SH-13-11-71,2.69,,"
"
5241,154633,Tee roheline melissi&sidruni Lipton 20pk,SH-13-17-97,2.69,,"
"
5242,139715,Tee roheline mandar.&apelsin Lipton 20pk,SH-13-17-97,2.69,,"
"
5222,168625,Batoonike Kalev Kirju Koer 200g,SH-9-6-8,2.69,,"
"
5223,119051,Pralineekommid Kalev Karakum 175g,SH-9-6-8,2.69,,"
"
5224,119050,Pralineekommid Kalev Oravake 175g,SH-9-6-8,2.69,,"
"
5225,172259,Kirsid tumedas šokolaadis Maiasmokk 100g,SH-9-3-4,2.69,,"
"
5226,812174,Beluga läätsed Rimi Planet 500g,SH-13-7-35,2.69,,"
"
5219,812169,Krõbedad riisiküpsised Selection by Rimi 100g,SH-9-5-5,2.69,,"
"
5232,805082,Pikateraline riis Rimi 8x125g,SH-13-15-91,2.69,,"
"
5234,801576,Tatratang Rimi 4x125g,SH-13-18-102,2.69,,"
"
5235,185396,Täisteraspeltajahu Veski Mati 1kg,SH-13-4-20,2.69,,"
"
5236,1355583,Froosh mango & apelsini smuuti 250 ml,SH-12-8-35,2.69,,"
"
5240,1355581,"Froosh ananassi, banaani & kookose 250ml",SH-12-8-35,2.69,,"
"
5227,808731,Kakaojook lahustuv Rimi 300g,SH-13-5,2.69,,"
"
5350,220492,Seakeeled suitsutatud Rakvere vp kg,SH-8-11-20,2.7,,"
"
5348,296827,Küüslaugu leivakesed Rimi pagaritelt kg,SH-6-6,2.7,,"
"
5349,805159,Õunapüree ICA Basic 720g,SH-13-10-59,2.7,,"
"
5346,907962,Valgehallitusjuust Brie pähkl. President kg,SH-11-3-12,2.7,,"
"
5347,289586,Passion kg,SH-12-5-28,2.7,,"
"
5388,971407,Mahlapulk arbuusi Pirulo 4x73ml,SH-4-1-6,2.75,,"
"
5376,1351365,"Õlu Paulaner Orig.Münchener 4,9%vol 0,5l",SH-1-6,2.75,,"
"
5378,992800,Juusturattakesed Babybel 60g,SH-11-3-13,2.75,,"
"
5379,1010595,Vaarikad tumedas šokolaa. Loodusvägi mahe 50g,SH-13-1-3,2.75,,"
"
5382,171483,Kornišonid Premium 1-4cm Lorado 680/370g,SH-13-10-51,2.75,,"
"
5384,965344,Suhkruhernes Rimi 150g,SH-12-2-9,2.75,,"
"
5385,947091,Kaneeliküpsis Täkumetsa 150g,SH-19-6-1,2.75,,"
"
5387,181450,Vokikaste austri/küüslaugu Santa Maria 150g,SH-13-11-72,2.75,,"
"
5377,993279,Rassolnik Mamma 300g,SH-16-7,2.75,,"
"
5399,940053,Täisterapastasalat 250g,SH-16-6,2.75,,"
"
5392,1351366,"Õlu Paulaner Hefe-Weisbier 5,5%vol 0,5l",SH-1-6,2.75,,"
"
5393,949312,Koorene kanapasta 350g,SH-16-1,2.75,,"
"
5394,133340,Küpsised rosina Tallinn Marmiton 350g,SH-9-5-5,2.75,,"
"
5395,220950,Heeringafilee Rasvane 240g,SH-8-16-20,2.75,,"
"
5396,810968,Öko rohelised oliivid I Love Eco 360g/215g,SH-13-10-56,2.75,,"
"
5397,812536,Hirsijahu Rimi 500g,SH-13-4-20,2.75,,"
"
5398,925368,Singirullid 160g,SH-16-11,2.75,,"
"
5400,900141,Wok Hiina Reinu 300g,SH-16-1,2.75,,"
"
5375,804817,Himaalaja roosa sool Selection by Rimi 100g,SH-13-12-77,2.75,,"
"
5391,193766,Ketšup terav Hellmanns 470g,SH-13-6-32,2.75,,"
"
5374,160641,Virsikupüree Bonne 100% 500g,SH-13-10-59,2.75,,"
"
5361,181430,Vokikaste pad thai Santa Maria 150g,SH-13-11-72,2.75,,"
"
5372,110959,Riisiäädikas Thai Choice 300ml,SH-13-11-66,2.75,,"
"
5352,127784,Perekurk viilutatud Põltsamaa 680/340g,SH-13-10-51,2.75,,"
"
5353,295511,Suitsujuust Kaval Ants Valio 250g,SH-11-3-15,2.75,,"
"
5354,909886,Juust Maasdam viilutatud 27% 150g,SH-11-3-17,2.75,,"
"
5356,272922,Juust Edam 27% Valio 200g,SH-11-3-19,2.75,,"
"
5357,206281,Viiner kileta Rakvere 500g,SH-8-22,2.75,,"
"
5373,181658,Vokikaste soja-magus tšilli Santa Maria 150g,SH-13-11-72,2.75,,"
"
5359,193765,Ketšup mahedamaitseline Hellmans 485g,SH-13-6-32,2.75,,"
"
5360,181666,Vokikaste magus-hapu Santa Maria 150g,SH-13-11-72,2.75,,"
"
5362,135352,Perekurk terve Põltsamaa 680/360g,SH-13-10-51,2.75,,"
"
5358,193774,Ketšup Hellmanns Napoli 485g,SH-13-6-32,2.75,,"
"
5364,105495,Tükksuhkur tume Dansukker fairtrade 500g,SH-13-13-85,2.75,,"
"
5365,110951,Pastakaste Felix 500g,SH-13-16-20,2.75,,"
"
5366,810885,Näkileib ICA gluteenivaba 170g,SH-13-1-3,2.75,,"
"
5367,810873,Kaeranäkileib ICA gluteenivaba 170g,SH-13-1-3,2.75,,"
"
5368,810545,Poolitatud mandlid Rimi 150g,SH-13-13-81,2.75,,"
"
5369,807897,Purustatud kookospähkel I Love Eco 200g,SH-13-13-81,2.75,,"
"
5370,102280,Palsamiäädikas Borges 250ml,SH-13-19-105,2.75,,"
"
5371,127150,Kakao Meie Mark vähendatud rasv. Vilma 150g,SH-13-5,2.75,,"
"
5363,177916,Klaasnuudlid Santa Maria 100g,SH-13-11-70,2.75,,"
"
5482,263611,Salatijuust Aristides 200g,SH-11-3-10,2.79,,"
"
5483,811419,Friikartulid sakilised Rimi 1kg,SH-4-3-13,2.79,,"
"
5484,915369,Lihapihvid Maks&Moorits 400g,SH-8-12-30,2.79,,"
"
5488,166673,Kurk marineeritud Kodune Põltsamaa 680/360g,SH-13-10-51,2.79,,"
"
5486,803850,Skandinaavia leib kanaga Rimi 160g,SH-16-9,2.79,,"
"
5487,803849,Skandinaavia leib kuumsuitsulõhega 145g,SH-16-9,2.79,,"
"
5485,811658,Hapuoblikasupp singiga Rimi 470g,SH-13-10-58,2.79,,"
"
5481,915553,Mõisa poolsuitsuvorst Rakvere 350g,SH-8-13,2.79,,"
"
5471,201159,"Koorejäätis šokolaadi Premia 240g/0,5l",SH-4-1-8,2.79,,"
"
5479,153448,Näkisai röstitud gluteenivaba Schär 150g,SH-13-1-3,2.79,,"
"
5478,188430,Näkileivad chiaga Semper gluteenivaba 140g,SH-13-1-3,2.79,,"
"
5477,811036,Õuna - granaatõuna mahl Selection 1l,SH-3-8-1,2.79,,"
"
5476,182603,Muffini pulber šokolaaditük. Dr. Oetker 300g,SH-13-4-18,2.79,,"
"
5475,810874,"Küpsised ICA valge,tum.šok.tükkid.150g",SH-13-1-3,2.79,,"
"
5474,100564,Viie pipra segu Santa Maria 35g,SH-13-12-75,2.79,,"
"
5473,1366493,"Kookosvesi Pfanner 0,5l",SH-3-10,2.79,,"
"
5472,200415,"Jäätis Stracciatella Premia 245g/0,5l",SH-4-1-8,2.79,,"
"
5489,804089,Ananassitükid mahlas ICA 567g,SH-13-10-60,2.79,,"
"
5480,257130,Juust soolvees Arla Apetina 200g,SH-11-3-10,2.79,,"
"
5490,804088,Ananassiviilud mahlas ICA 567g,SH-13-10-60,2.79,,"
"
5502,979209,Lihakas doktoriviiner 260g,SH-8-22,2.79,,"
"
5492,1362082,"Õlu Indulgents Kolk 6,5%vol 0,33l",SH-1-6,2.79,,"
"
5527,929249,Praekapsas Rimi 1kg,SH-12-9,2.79,,"
"
5526,197639,Kaste napoletna Gustibus 400g,SH-13-16-20,2.79,,"
"
5522,985779,Minisaiake kaneeli Fazer Kodusai 220g,SH-6-1-6,2.79,,"
"
5521,985778,Minisaiake karamelli Fazer Kodusai 220g,SH-6-1-6,2.79,,"
"
5518,936773,Kartulikaste Felix 400g,SH-11-6-28,2.79,,"
"
5513,903169,Mahe toortatrakruup Tõrvaaugu 500g,SH-19-4,2.79,,"
"
5510,980078,Doktorivorst Nõo 400g,SH-8-4,2.79,,"
"
5509,981002,Marmelaadikeeksid VäikeVäänik 300g,SH-6-1-1,2.79,,"
"
5491,111279,Pajaroog Mehhiko Blå Band 190g,SH-13-8-42,2.79,,"
"
5508,980996,Rosinakeeksid VäikeVäänik 300g,SH-6-1-1,2.79,,"
"
5505,197631,Kaste siciliana Gustibus 400g,SH-13-16-20,2.79,,"
"
